Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Herpes simplex virus 1 infection	137/498	1.599891e-14	5.055656e-12	0	0	2.303005e+00	7.315786e+01	ZNF175;ZNF81;ZNF83;AKT2;ZNF605;AKT3;ZSCAN32;ZNF846;AKT1;ZNF569;ZNF688;B2M;ZNF320;ZNF561;ZNF680;ZFP1;HLA-B;ZNF10;TAP1;HLA-C;TSC1;ZNF12;HLA-F;HLA-E;ZNF714;ZNF316;ZNF436;ZNF557;SRSF6;ZNF675;SRSF8;ZNF432;ZNF398;ZNF431;ZNF430;ZNF550;ZNF671;ZNF792;ZNF273;SOCS3;ZNF708;ZNF707;ZNF549;ZNF426;TNFRSF14;ZNF304;ZNF667;ZNF786;ZNF268;ZNF543;ZNF785;ZNF662;ZNF783;EIF2B5;EIF2B4;HLA-DRB5;EIF2B3;ZNF141;ZNF383;EIF2B2;EIF2AK4;PILRA;POU2F2;MAVS;ZNF37A;ZNF816;ZNF417;ZNF813;HLA-DRA;TAB2;RBAK;HLA-DRB1;MYD88;BCL2L1;ZNF133;ZNF254;ZNF253;ZNF251;ZNF43;PIK3CD;ZNF45;PIK3CB;ZNF808;ZNF529;ZNF649;CASP3;ZNF41;ZNF768;ZNF248;ZNF765;JAK2;ZNF764;HLA-DPA1;JAK1;ZNF761;ZNF484;SYK;IFNGR2;TRAF2;IRF3;OAS2;TRAF5;ZNF514;ITGA5;ZNF510;ZNF234;ZNF195;ZNF3;ZFP14;CCL5;ZNF746;ZNF107;ZNF623;ZNF589;BAK1;ZNF621;ZNF585B;ZNF587;ZNF343;ZNF100;BAD;ZNF182;CARD9;MTOR;ZNF33B;ZNF619;ZNF737;ZNF74;ZNF736;HLA-DPB1;ZNF614;ZNF337;ZNF577;ZNF334;ZNF212;ZFP28;ZNF354B
KEGG_2021_Human	Human immunodeficiency virus 1 infection	72/212	6.949897e-13	1.098084e-10	0	0	3.089357e+00	8.648616e+01	PIK3CD;PIK3CB;CD3E;CD3D;AP1G2;TRIM5;AKT2;CASP3;AKT3;CFL1;AP1S2;RAC2;AKT1;AP1S1;CCR5;B2M;HRAS;SKP1;MAP2K1;PRKCB;HLA-B;HLA-C;TAP1;TRAF2;HLA-F;TNFRSF1B;HLA-E;IRF3;TRAF5;PXN;ITPR1;CXCR4;ITPR2;ITPR3;GNAI2;CCNB2;PAK1;CCNB1;MAPK8;GNG2;GNG5;GNG7;PTK2B;PLCG1;BAK1;MAP2K7;PAK4;MAP2K6;MAPK3;APOBEC3D;BAD;LIMK2;LIMK1;NFATC2;NFATC1;MAPK14;PTK2;MAPK12;MTOR;MAPK13;MAPK11;GNB2;GNB1;CDK1;CALM3;TAB2;CD247;APOBEC3A;MYD88;APOBEC3B;ATR;BCL2L1
KEGG_2021_Human	Salmonella infection	79/249	3.016025e-12	3.176879e-10	0	0	2.793514e+00	7.410378e+01	CYFIP1;HSP90AB1;ARPC1B;FHOD1;PIK3CD;GCC2;PIK3CB;PIK3C2A;FBXO22;ACTB;PIK3C2B;ACTR1A;TUBB6;ACTR1B;AKT2;CASP3;AKT3;AKT1;HRAS;SKP1;KPNA1;DYNC2H1;ACTR3;MAP2K1;HSP90AA1;RHOG;TRAF2;RHOA;TUBA4A;RHOB;EXOC4;ELMO1;PIK3C3;PFN1;NAIP;ARL8A;RAB7A;DCTN5;RALA;RAB5C;AHNAK;DCTN1;DCTN4;TCF7;LEF1;NOD1;SNX33;NLRC4;MYL12B;DYNC2LI1;KLC4;CYTH2;PAK1;MAPK8;KLC2;CYTH4;FLNA;FLNB;CD14;BAK1;MAP2K7;VPS16;MAP2K6;MAPK3;DYNC1H1;TCF7L2;ARPC4;ARPC5;MAPK14;MAPK12;MAPK13;MAPK11;SNX18;ARPC2;ARPC3;TAB2;PKN1;RAB5A;MYD88
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	72/219	4.137548e-12	3.268663e-10	0	0	2.941030e+00	7.708710e+01	ATF2;NRP1;SPI1;CRTC3;CRTC1;ITGB2;PIK3CD;PIK3CB;CD3E;ITGAL;CD3D;ETS1;ETS2;CDC20;ELK4;ZFP36;XPO1;AKT2;AKT3;CREB3L2;AKT1;PRKACA;B2M;PRKACB;HRAS;JAK3;HLA-DPA1;JAK1;MAP2K1;ANAPC7;IL1R1;HLA-B;HLA-C;HLA-F;HLA-E;CCNA2;KAT2B;CCNA1;CREB3;KAT2A;CCNE2;LCK;TBPL1;ANAPC4;VDAC1;ANAPC5;TLN1;ANAPC1;MAD1L1;ANAPC2;ADCY3;ADCY6;CCNB2;MAPK8;E2F2;MAPK3;STAT5B;MAP3K3;HLA-DRB5;SMAD4;CDKN2C;NFYB;NFATC2;NFATC1;IL2RA;CDC16;IL2RB;HLA-DPB1;HLA-DRA;HLA-DRB1;ATR;BCL2L1
KEGG_2021_Human	Yersinia infection	52/137	9.438753e-12	5.965292e-10	0	0	3.660908e+00	9.293654e+01	ITGB1;ARPC1B;PIK3CD;PIK3CB;ACTB;AKT2;RPS6KA2;AKT3;RAC2;AKT1;ACTR3;VAV3;MAP2K1;ARHGEF12;RHOG;TRAF2;RHOA;ZAP70;IRF3;CD8A;LCK;ELMO1;ITGA5;DOCK1;PXN;NLRC4;MEFV;MAPK8;PTK2B;PIP5K1B;PLCG1;MAP2K7;MAP2K6;MAPK3;LIMK1;FN1;NFATC2;ARPC4;NFATC1;ARPC5;BAIAP2;MAPK14;PTK2;MAPK12;MAPK13;MAPK11;FCGR2A;ARPC2;ARPC3;TAB2;PKN1;MYD88
KEGG_2021_Human	Endocytosis	77/252	4.447538e-11	2.342370e-09	0	0	2.642341e+00	6.298307e+01	SH3KBP1;ARPC1B;SNX12;AP2A1;ARRB2;ZFYVE27;CAPZB;CHMP1B;CCR5;HRAS;GIT1;ACTR3;PRKCI;HLA-B;ARAP2;VPS37C;HLA-C;ARAP3;VPS37A;ARAP1;HLA-F;RHOA;ARFGAP1;DNM1;EPN1;HLA-E;RNF41;EPN2;ACAP3;RAB31;RABEP1;AGAP6;DNAJC6;RUFY2;CHMP4B;STAMBP;STAM2;RAB7A;RAB5C;NEDD4L;CXCR4;ASAP1;ASAP2;PRKCZ;SNX3;CYTH2;CYTH4;CXCR1;GRK5;GRK4;GRK6;MVB12A;PIP5K1B;RAB11FIP3;EPS15;RAB11FIP4;RAB11FIP5;HSPA8;RAB4A;IQSEC2;IQSEC1;IQSEC3;ARPC4;AP2B1;ARPC5;IGF2R;EHD1;EHD2;DAB2;ARPC2;ARPC3;IL2RA;IL2RB;FOLR3;SMAP2;RAB5A;HSPA1B
KEGG_2021_Human	Osteoclast differentiation	48/127	6.979465e-11	3.150730e-09	0	0	3.632129e+00	8.493902e+01	LILRA6;SPI1;CSF1;NCF1;NCF2;PIK3CD;PIK3CB;LILRA2;LILRA3;SIRPB1;LILRA5;SOCS3;FCGR3A;MAPK8;FCGR3B;AKT2;AKT3;AKT1;ACP5;MAP2K7;JUNB;MAP2K6;JAK1;MAPK3;MAP2K1;SYK;IL1R1;IFNGR2;NFATC2;CYBA;NFATC1;TRAF2;LILRB1;LILRB2;LILRB3;MAPK14;LILRB4;MAPK12;MAPK13;MAPK11;TYROBP;FCGR2A;TEC;LCK;CAMK4;GRB2;TAB2;SQSTM1
KEGG_2021_Human	Leukocyte transendothelial migration	44/114	1.932836e-10	7.634704e-09	0	0	3.754238e+00	8.397052e+01	ITGB1;ITK;ITGAM;NCF1;NCF2;TXK;CTNND1;PXN;ITGB2;PIK3CD;CXCR4;PIK3CB;F11R;ITGAL;ACTB;MYL12B;GNAI2;RAP1A;RASSF5;RAC2;CTNNA1;PTK2B;PLCG1;CD99;JAM3;VASP;VAV3;PRKCB;ACTN1;MMP2;CYBB;CYBA;ACTN4;MAPK14;MMP9;PTK2;RHOA;MAPK12;MAPK13;MAPK11;OCLN;CXCL12;EZR;VCL
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	39/97	4.999792e-10	1.755482e-08	0	0	4.011889e+00	8.592043e+01	NCF1;ARPC1B;INPPL1;PIK3CD;ASAP1;PIK3CB;ASAP2;PLA2G6;FCGR3A;PAK1;FCGR3B;AKT2;INPP5D;AKT3;CFL1;RAC2;AKT1;PIP5K1B;PLCG1;MAPK3;LYN;VASP;ACTR3;VAV3;MAP2K1;GSN;SYK;PRKCB;PRKCE;LIMK2;LIMK1;PLA2G4A;ARPC4;ARPC5;MARCKS;FCGR2A;ARPC2;ARPC3;DOCK1
KEGG_2021_Human	Human cytomegalovirus infection	68/225	1.001000e-09	3.163161e-08	0	0	2.595510e+00	5.378485e+01	ATF2;PIK3CD;PIK3CB;AKT2;CASP3;AKT3;CREB3L2;RAC2;AKT1;ITGAV;PRKACA;CCR5;B2M;PRKACB;HRAS;JAK1;MAP2K1;ARHGEF12;IL1R1;PRKCB;HLA-B;HLA-C;TAP1;TSC1;TRAF2;HLA-F;RHOA;HLA-E;CREB3;IRF3;TRAF5;SOS1;SOS2;PTGER4;PTGER2;PXN;ITPR1;ADCY3;CXCR4;ITPR2;ITPR3;ADCY6;GNAI2;GNG2;GNG5;CCL5;GNG7;GNA12;E2F2;PTK2B;BAK1;MAP2K6;MAPK3;CCR1;IL10RA;NFATC2;NFATC1;MAPK14;PTK2;MAPK12;MTOR;MAPK13;MAPK11;CXCL12;GNB2;GNB1;CALM3;GRB2
KEGG_2021_Human	Autophagy	48/137	1.403774e-09	4.032659e-08	0	0	3.222131e+00	6.568025e+01	MTMR3;STX17;MTMR14;ITPR1;PIK3CD;IRS2;PIK3CB;AMBRA1;HIF1A;GABARAP;CAMKK2;RPTOR;MAPK8;CTSL;AKT2;RB1CC1;AKT3;MLST8;AKT1;NRBF2;PRKACA;PRKACB;CTSD;HRAS;MAPK3;ATG3;GABARAPL2;UVRAG;MAP2K1;DAPK1;BAD;DAPK2;BNIP3;ATG9A;DAPK3;ATG10;TSC1;WIPI1;EIF2AK4;MTOR;ERN1;RRAGC;DDIT4;ATG4B;PIK3C3;SQSTM1;BCL2L1;RAB7A
KEGG_2021_Human	Chemokine signaling pathway	60/192	2.313527e-09	6.092289e-08	0	0	2.720221e+00	5.409020e+01	ITK;NCF1;PIK3CD;CXCL1;ARRB2;PIK3CB;CXCL16;PREX1;AKT2;AKT3;RAC2;AKT1;CCR7;PRKACA;CCR5;JAK2;PRKACB;HRAS;JAK3;CCR2;VAV3;MAP2K1;PRKCB;RHOA;FGR;TIAM1;ELMO1;SOS1;SOS2;SHC1;PXN;ADCY3;CXCR4;RASGRP2;PRKCZ;PIK3R6;ADCY6;GNAI2;PAK1;RAP1A;GNG2;GRK5;CXCR1;GNG5;GRK4;CCL5;GNG7;GRK6;PTK2B;PLCG1;MAPK3;CCR1;LYN;STAT5B;BAD;PTK2;CXCL12;GNB2;GNB1;GRB2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	60/193	2.888620e-09	7.021570e-08	0	0	2.699609e+00	5.308102e+01	PIK3CD;CXCL1;PIK3CB;PREX1;ZFP36;AKT2;CASP3;AKT3;AKT1;CCR5;JAK2;HRAS;JAK1;ATG3;GABARAPL2;MAP2K1;SYK;HLA-B;HLA-C;TRAF2;HLA-F;HLA-E;IRF3;MAPKAPK2;PIK3C3;IL6ST;UBA52;TCF7;LEF1;ITPR1;ITPR2;ITPR3;HIF1A;GABARAP;PIK3R6;MAPK8;GNG2;GNG5;GNG7;E2F2;PLCG1;BAK1;MAP2K7;MICB;MAP2K6;MAPK3;CCR1;LYN;TCF7L2;NFATC2;NFATC1;MAPK14;MAPK12;MTOR;MAPK13;MAPK11;CLEC2B;GNB2;GNB1;CALM3
KEGG_2021_Human	Tuberculosis	57/180	3.348280e-09	7.557547e-08	0	0	2.771837e+00	5.409189e+01	ITGAM;ITGB2;LSP1;CTSS;FCGR3A;FCGR3B;CASP10;AKT2;CASP3;AKT3;ITGAX;AKT1;JAK2;CTSD;CAMP;HLA-DPA1;JAK1;ARHGEF12;CR1;FCER1G;SYK;IFNGR2;RHOA;TLR1;PIK3C3;ATP6V0D1;CLEC4E;RAB7A;CAMK2D;CEBPB;RAB5C;CEBPG;CORO1A;MAPK8;CLEC7A;IRAK2;CD14;MAPK3;HSPA9;HLA-DRB5;VDR;BAD;NFYB;IL10RA;CARD9;MAPK14;MAPK12;MAPK13;MAPK11;FCGR2A;RFXAP;HLA-DPB1;HLA-DRA;CALM3;RAB5A;HLA-DRB1;MYD88
KEGG_2021_Human	Th17 cell differentiation	40/107	3.807752e-09	7.676838e-08	0	0	3.561395e+00	6.904201e+01	HSP90AB1;RORA;IL1RAP;GATA3;CD3E;HIF1A;CD3D;RXRB;MAPK8;PLCG1;JAK2;IL12RB1;JAK3;HLA-DPA1;JAK1;MAPK3;STAT5B;HLA-DRB5;SMAD4;HSP90AA1;IL1R1;IFNGR2;NFATC2;NFATC1;MAPK14;MAPK12;MTOR;RUNX1;MAPK13;ZAP70;MAPK11;IRF4;LCK;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;CD247;IL6ST;HLA-DRB1
