Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Human	Genes related to primary cilium development (based on CRISPR) WP4536	45/103	7.342344e-13	2.616857e-10	0	0	4.638844e+00	1.296091e+02	C2CD3;TRAF3IP1;IFT172;ARL3;CBY1;KATNB1;TXNDC15;HSPB11;DYNC2LI1;IFT74;KIF3B;KIF3A;TCTN3;TCTN2;INPP5E;TCTN1;KIAA0753;BBS9;IFT57;PIBF1;CEP76;BBS4;DYNC2H1;BBS2;MKKS;IFT140;WDR19;RABL2A;IQCE;IFT122;IFT80;FUZ;TUBE1;WDR35;LZTFL1;IFT20;IFT88;TTC8;BBS10;IFT81;MKS1;IFT27;WDPCP;IFT46;CLUAP1
WikiPathways_2019_Human	VEGFA-VEGFR2 Signaling Pathway WP3888	77/236	1.163048e-12	2.616857e-10	0	0	2.910986e+00	7.999383e+01	YWHAE;ITGB1;ATF2;NCF1;NCF2;CTNND1;PTPRJ;ARRB2;ETS1;HERPUD1;AMOT;PLAU;CFL1;GRB10;MLST8;AKT1;ITGAV;HRAS;MAP3K5;PRKCI;MAP2K1;HSP90AA1;PRKCB;PRKCE;MMP2;PLA2G4A;RHOA;EPN1;ERN1;MAPKAPK2;RAPGEF1;MYH9;MAPKAPK5;PFN1;EZR;VCL;HDAC4;SHC1;PXN;IQGAP1;PRKCZ;HDAC9;ACACA;FOXO1;CAMKK2;PAK1;MAPK8;RAP1A;MKNK1;CTNNA1;PTK2B;FLNB;IGFBP7;CSK;PLCG1;MAP2K7;EPS15;EIF4E;MAP2K6;MAPK3;RAB4A;JAG1;LIMK1;TNFRSF10C;NFATC2;NFATC1;MAPK14;SOD2;PTK2;MAPK12;MTOR;NR4A1;OCLN;PTPN9;GRB2;RAB5A;BCL2L1
WikiPathways_2019_Human	EGF/EGFR Signaling Pathway WP437	59/162	2.998787e-12	4.498180e-10	0	0	3.432653e+00	9.107794e+01	USP6NL;SH3KBP1;INPPL1;PEBP1;AP2A1;PIK3C2B;EPS8;ELK4;RPS6KA2;CFL1;GRB10;AKT1;JAK2;HRAS;JAK1;MEF2A;VAV3;MAP4K1;PIAS3;RALBP1;PRKCI;MAP2K1;PRKCB;EPN1;DNM1;STAMBP;SOS1;STAM2;SOS2;RALA;SHC1;ASAP1;IQGAP1;PRKCZ;FOXO1;AURKA;PAK1;MAPK8;RAP1A;MAPK7;INPP5D;ABL1;PTK2B;CSK;PLCG1;RALGDS;EPS15;MAP2K5;STAT5B;MAP3K3;IQSEC1;LIMK2;AP2B1;MAPK14;PTK2;MTOR;SYNJ1;GRB2;RAB5A
WikiPathways_2019_Human	Insulin Signaling WP481	58/160	5.715806e-12	6.430282e-10	0	0	3.406555e+00	8.818817e+01	INPPL1;PIK3CD;IRS2;PIK3CB;PIK3C2A;AKT2;RPS6KA2;GRB10;FLOT1;RAC2;AKT1;MAP3K8;MAP3K6;GYG1;HRAS;MAP3K5;CAP1;MAP4K1;PRKCI;MAP2K1;PRKCB;MINK1;TSC1;TBC1D4;RAPGEF1;PIK3C3;SGK1;SOS1;SOS2;SHC1;STXBP2;PRKCZ;FOXO1;SOCS3;MAPK8;MAPK7;KIF3A;STX4;MAP2K7;EIF4E;MAP2K5;MAP4K3;MAP2K6;MAPK3;MAP4K4;MAP3K3;XBP1;RAB4A;INSR;MAPK14;MAPK12;MTOR;MAPK13;EHD1;EHD2;MAPK11;MAP3K10;GRB2
WikiPathways_2019_Human	Angiopoietin Like Protein 8 Regulatory Pathway WP3915	48/132	3.302140e-10	2.971926e-08	0	0	3.414928e+00	7.455224e+01	SHC1;PIK3CD;IRS2;PIK3CB;PIK3C2A;FOXO1;RPTOR;MAPK8;MAPK7;SESN3;AKT2;RPS6KA2;MLST8;FLOT1;AKT1;MAP3K8;MAP3K6;MAP2K7;HRAS;EIF4E;MAP2K5;MAP4K3;MAP3K5;MAP2K6;MAPK3;MAP4K4;CAP1;MAP4K1;MAP3K3;MAP2K1;INSR;MINK1;NR1H3;TSC1;MAPK14;SREBF2;MAPK12;MTOR;MAPK13;MAPK11;FASN;RAPGEF1;TRIP10;MAP3K10;PIK3C3;SOS1;SOS2;FBP1
WikiPathways_2019_Human	Ciliary landscape WP4352	66/216	1.062371e-09	7.967784e-08	0	0	2.635958e+00	5.446617e+01	DOCK5;ZMYND19;TRAF3IP1;IFT172;MCM9;MYL6B;SMC4;HSPB11;PSMD8;APMAP;BBS9;TNKS1BP1;IFT57;CEP290;BBS4;RAB2A;IQCB1;NUDC;RBM14;IFT140;IFT80;LZTFL1;AFG3L2;MYL6;IFT88;RABEP2;TBC1D4;IFT81;EXOC4;ERF;EXOC6;IFT46;MAPRE2;EXOC1;ECHS1;ANKS3;COPS7B;IQGAP1;SPATA7;EHBP1;EXOSC7;IFT74;DNPEP;STOM;EXOSC2;CTSA;BBS2;NEK8;DYNC1H1;NDUFA5;UQCC1;IFT122;CNOT10;FUZ;COPS4;IFT20;TTC8;COPS6;GID4;XPNPEP3;MKS1;LCN2;IFT27;VIM;GLA;CLUAP1
WikiPathways_2019_Human	Chemokine signaling pathway WP3929	53/164	5.340009e-09	3.432863e-07	0	0	2.853948e+00	5.436212e+01	ITK;NCF1;PIK3CD;PIK3CB;ARRB2;CXCL16;PREX1;AKT2;AKT3;RAC2;AKT1;CCR7;JAK2;PRKACB;HRAS;JAK3;CCR2;VAV3;MAP2K1;PRKCB;FGR;TIAM1;ELMO1;SOS1;SOS2;SHC1;PXN;ADCY3;CXCR4;RASGRP2;PRKCZ;ADCY6;GNAI2;PAK1;RAP1A;GNG2;GRK5;GNG5;GRK4;GNG7;CCL5;GRK6;PTK2B;CSK;MAPK3;LYN;CCR1;STAT5B;PTK2;CXCL12;GNB2;GNB1;GRB2
WikiPathways_2019_Human	Microglia Pathogen Phagocytosis Pathway WP3937	21/40	1.785137e-08	9.775529e-07	0	0	6.568146e+00	1.171835e+02	C1QB;LYN;VAV3;ITGAM;FCER1G;NCF1;SYK;NCF2;ARPC1B;ITGB2;PIK3CD;CYBB;CYBA;PIK3CB;PIK3C2A;PIK3R6;TYROBP;RAC2;PIK3C3;SIGLEC7;C1QC
WikiPathways_2019_Human	Prolactin Signaling Pathway WP2037	31/76	1.955106e-08	9.775529e-07	0	0	4.101834e+00	7.280853e+01	ITGB1;SHC1;PXN;IRS2;PIK3CB;SOCS2;SOCS3;PAK1;MAPK8;CASP3;RPS6KA2;AKT1;FLNA;NEK3;JAK2;CTSD;HRAS;YWHAG;JAK1;MAPK3;PIAS3;STAT5B;MAP2K1;CISH;MAPK14;MTOR;PTK2;ZAP70;TEC;GRB2;SOS1
WikiPathways_2019_Human	Nanoparticle-mediated activation of receptor signaling WP2643	17/28	2.241046e-08	1.008471e-06	0	0	9.175566e+00	1.616160e+02	ITGB1;MAP2K1;PXN;FN1;PIK3CD;MAPK14;AREG;PTK2;MAPK12;MAPK13;MAPK11;MAPK8;AKT3;GRB2;TLN1;SOS1;HRAS
